
---------- Begin Simulation Statistics ----------
simSeconds                                   0.054092                       # Number of seconds simulated (Second)
simTicks                                  54092130000                       # Number of ticks simulated (Tick)
finalTick                                 54092130000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    373.52                       # Real time elapsed on the host (Second)
hostTickRate                                144818394                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8588740                       # Number of bytes of host memory used (Byte)
simInsts                                    105786406                       # Number of instructions simulated (Count)
simOps                                      123070100                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   283217                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     329490                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         54092131                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.511333                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.955671                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       123109596                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      103                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      123098138                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     38                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                39585                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             64497                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  49                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            54023615                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.278599                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.699766                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7167999     13.27%     13.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11061755     20.48%     33.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  16579433     30.69%     64.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10506598     19.45%     83.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2329218      4.31%     88.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    368954      0.68%     88.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5872967     10.87%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    135249      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1442      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              54023615                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    3542     14.69%     14.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.69% # attempts to use FU when none available (Count)
