
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029578                       # Number of seconds simulated (Second)
simTicks                                  29578305000                       # Number of ticks simulated (Tick)
finalTick                                 29578305000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    208.94                       # Real time elapsed on the host (Second)
hostTickRate                                141565428                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8643004                       # Number of bytes of host memory used (Byte)
simInsts                                     35799231                       # Number of instructions simulated (Count)
simOps                                       57307966                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   171339                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     274283                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         29578306                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.826227                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.210321                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        81649174                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      107                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       73502234                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    560                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24341301                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          54584116                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  59                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            29514221                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.490401                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.252423                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7474778     25.33%     25.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5196152     17.61%     42.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4234786     14.35%     57.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2947165      9.99%     67.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3521871     11.93%     79.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2300843      7.80%     86.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2085105      7.06%     94.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1135482      3.85%     97.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    618039      2.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              29514221                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    7124      2.54%      2.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.54% # attempts to use FU when none available (Count)
